chapter,section,average_word_count
Part 2: A Liberal Arts Education at Duke Kunshan University,A Liberal Arts College Experience,153.0
Part 1: General Information,Mission Statement,141.0
Part 6: Academic Procedures and Information,Declaration of Major,132.5
Part 12: Useful Contacts,Useful Contacts,122.0
Part 6: Academic Procedures and Information,Two-Credit Writing Courses,120.0
Part 2: A Liberal Arts Education at Duke Kunshan University,A 21st Century Curriculum,119.0
Part 6: Academic Procedures and Information,Independent Studies,116.0
Part 6: Academic Procedures and Information,Notification of Intention to Graduate,116.0
Part 3: The Curriculum,Overview,115.6
Part 6: Academic Procedures and Information,Grading and Grade Requirements,108.19047619047619
Part 6: Academic Procedures and Information,Incomplete Coursework and Excused Absence from Final Exam,101.2
Part 6: Academic Procedures and Information,Changes in Status,99.6923076923077
Part 6: Academic Procedures and Information,Progress toward Degree,98.2
Part 6: Academic Procedures and Information,Course Repeat,97.66666666666667
Part 6: Academic Procedures and Information,Undergraduate Course Load,94.86666666666666
Part 10: Majors and Courses,Majors (listed in alphabetical order),92.87837837837837
Part 2: A Liberal Arts Education at Duke Kunshan University,Dual Degrees,92.0
"Part 4: Admission, Scholarships and Financial Aid",Application Requirements,88.33333333333333
Part 6: Academic Procedures and Information,Final Examinations,86.75
Part 6: Academic Procedures and Information,"Academic Warning, Probation, and Suspension for Students in the Classes of 2022-2024",86.33333333333333
Part 6: Academic Procedures and Information,Academic Integrity,86.0
Part 6: Academic Procedures and Information,Grade Review Procedure,85.66666666666667
Part 6: Academic Procedures and Information,Graduation and Commencement,84.0
Part 7: Academic Advising and Support,Academic Advising and Support,83.0
Part 9: Student Affairs and Campus Life,Accommodations,80.33333333333333
Part 6: Academic Procedures and Information,"Academic Warning, Probation, and Suspension for Students in the Class of 2025 and Beyond",79.8
Part 6: Academic Procedures and Information,Compliance with Academic Regulations,79.0
Part 9: Student Affairs and Campus Life,Campus Health Clinic,78.5
Part 6: Academic Procedures and Information,Registration,76.75
Part 6: Academic Procedures and Information,Entrance Credit and Placement,75.3125
Part 6: Academic Procedures and Information,Transfer of Work Taken Elsewhere,74.81818181818181
Part 1: General Information,Who We Are,73.5
Part 6: Academic Procedures and Information,Class Attendance and Missed Work,73.25
Part 1: General Information,Statement on Diversity and Inclusion,73.0
Part 6: Academic Procedures and Information,Time Limit for Completing Undergraduate Degree,73.0
Part 6: Academic Procedures and Information,Academic Recognition and Honors,70.0
Part 7: Academic Advising and Support,Academic Advising,69.5
Part 6: Academic Procedures and Information,Procedure for Resolution of Students' Academic Concerns,69.0
Part 6: Academic Procedures and Information,Course Audit,68.66666666666667
Part 9: Student Affairs and Campus Life,Chinese Student Services and Student Mobility,68.0
Part 6: Academic Procedures and Information,The Provision of Academic Information to Parents and Guardians,68.0
Part 9: Student Affairs and Campus Life,Campus Programs,67.75
Part 5: Financial Information,Tuition and Fees,67.5
Part 7: Academic Advising and Support,Academic Resource Center,66.0
Part 10: Majors and Courses,Course Descriptions,65.67328918322296
Part 9: Student Affairs and Campus Life,Counseling and Psychological Services (CAPS),65.66666666666667
Part 3: The Curriculum,Degree Requirements,65.48780487804878
Part 1: General Information,Partners,64.1
"Part 8: Career Services, Study Away, and Research Opportunities",Office of Global Education and Study Away,62.08
"Part 4: Admission, Scholarships and Financial Aid",Principles of Selection,61.5
"Part 4: Admission, Scholarships and Financial Aid",Application Timelines,61.25
Part 9: Student Affairs and Campus Life,Blue Oasis Student Center,59.0
Part 6: Academic Procedures and Information,Eligibility for Courses,58.666666666666664
Part 9: Student Affairs and Campus Life,Student Affairs Conceptual Framework,57.666666666666664
Part 9: Student Affairs and Campus Life,Residence Life,57.666666666666664
Part 9: Student Affairs and Campus Life,Student Clubs and Organizations,57.5
Part 6: Academic Procedures and Information,Exclusion of Disruptive Students from a Course,57.5
Part 9: Student Affairs and Campus Life,Arts and Culture,56.5
Part 6: Academic Procedures and Information,Education Records,55.5
"Part 8: Career Services, Study Away, and Research Opportunities",Student Research Opportunities,55.333333333333336
Part 6: Academic Procedures and Information,Religious Holidays,53.5
Part 9: Student Affairs and Campus Life,Campus Engagement,53.0
Part 1: General Information,General Information,47.75
Part 9: Student Affairs and Campus Life,International Student Services,47.5
Part 9: Student Affairs and Campus Life,Student Conduct,45.5
Part 5: Financial Information,Estimated Expenses,45.1578947368421
Part 9: Student Affairs and Campus Life,Leadership Development,44.5
Part 6: Academic Procedures and Information,Submission of Term Paper,41.0
"Part 8: Career Services, Study Away, and Research Opportunities",Career Services,40.0
"Part 4: Admission, Scholarships and Financial Aid",Scholarships and Financial Aid,37.5
Part 3: The Curriculum,Key Components,35.529411764705884
Part 10: Majors and Courses,Requirements for All Majors,35.375
Part 9: Student Affairs and Campus Life,Athletics & University Sports,34.285714285714285
Part 2: A Liberal Arts Education at Duke Kunshan University,Animating Principles,32.875
Part 9: Student Affairs and Campus Life,Student Affairs,32.0
Part 5: Financial Information,Refund,30.083333333333332
Part 7: Academic Advising and Support,Seven Principles of Duke Kunshan University Academic Advising,23.142857142857142
Part 6: Academic Procedures and Information,Class Scheduling,23.0
Part 9: Student Affairs and Campus Life,Host Family Program,22.5
Part 11: Academic Calendar 2021-22,Academic Calendar 2021-22,17.05
"Part 4: Admission, Scholarships and Financial Aid",Notification and Responses,13.0
"Part 4: Admission, Scholarships and Financial Aid",How to Apply,11.0
