id,magnitude,place,country,time,longitude,latitude,depth
us7000tdbc,4.9,"117 km WNW of Pangai, Tonga",Tonga,2026-09-01 10:34:48 UTC,-175.4039,-19.4439,198.068
us7000tdav,5.6,"82 km SE of Maba, Indonesia",Indonesia,2026-09-01 08:22:20 UTC,128.8054,0.1685,10.0
us7000tdal,4.5,"90 km SSW of Nikolski, Alaska",Alaska,2026-09-01 07:45:38 UTC,-169.2588,52.1624,37.559
us7000tdag,4.5,"105 km SSW of Nikolski, Alaska",Alaska,2026-09-01 07:05:57 UTC,-169.3391,52.0389,42.225
us7000tdae,3.7,"85 km SSW of Nikolski, Alaska",Alaska,2026-09-01 06:52:14 UTC,-169.2532,52.2057,25.66
us7000tdab,5.3,"89 km SSW of Nikolski, Alaska",Alaska,2026-09-01 06:44:36 UTC,-169.4456,52.2132,26.001
us7000tda7,4.5,"13 km NNW of Yasuj, Iran",Iran,2026-09-01 06:15:13 UTC,51.5353,30.778,10.0
us7000td9v,4.6,"201 km SW of Fakfak, Indonesia",Indonesia,2026-09-01 05:06:33 UTC,131.0442,-4.2388,35.0
pr71530493,3.42,"22 km SE of Punta Cana, Dominican Republic",Dominican Republic,2026-09-01 03:03:51 UTC,-68.2475,18.4445,93.89
us7000td94,3.3,"3 km E of Nelson Lagoon, Alaska",Alaska,2026-09-01 02:22:48 UTC,-161.1496,55.9965,192.579
us7000td8u,4.8,"292 km WNW of Houma, Tonga",Tonga,2026-09-01 01:29:10 UTC,-177.994,-20.4066,533.035
us7000td88,4.2,"92 km WNW of False Pass, Alaska",Alaska,2026-08-31 23:16:53 UTC,-164.8095,55.0626,174.396
us7000td7u,4.4,"24 km NNE of Jalālābād, Afghanistan",Afghanistan,2026-08-31 22:01:38 UTC,70.5728,34.6261,44.229
us7000td7p,4.4,South Sandwich Islands region,South Sandwich Islands region,2026-08-31 21:46:03 UTC,-28.0768,-56.0847,148.298
us7000td7l,2.9,"233 km W of Ferndale, California",California,2026-08-31 21:38:46 UTC,-127.0213,40.6825,16.306
us7000td7k,4.3,"51 km SW of Taltal, Chile",Chile,2026-08-31 21:30:16 UTC,-70.8045,-25.7742,25.968
pr71530473,3.05,"31 km WSW of Stella, Puerto Rico",Puerto Rico,2026-08-31 20:37:30 UTC,-67.5043333333333,18.1778333333333,8.11
us7000td6k,4.8,"176 km SE of Gizo, Solomon Islands",Solomon Islands,2026-08-31 20:00:29 UTC,158.1558,-9.0154,10.0
us7000td5l,4.6,"112 km SSW of Chirilagua, El Salvador",El Salvador,2026-08-31 18:56:28 UTC,-88.4432,12.244,35.0
us7000td4c,4.2,"27 km S of Labuan Bajo, Indonesia",Indonesia,2026-08-31 14:25:55 UTC,119.911,-8.7422,186.84
us7000td49,4.1,"8 km SW of Iray, Peru",Peru,2026-08-31 14:07:44 UTC,-72.6782,-15.9109,114.866
us7000td3y,4.7,"3 km NW of Yanacancha, Peru",Peru,2026-08-31 11:53:26 UTC,-75.4097,-12.1824,10.0
ci41539640,2.91,"22 km SSW of La Quinta, CA",CA,2026-08-31 11:04:24 UTC,-116.401166666667,33.484,9.89
us7000td3c,4.6,"28 km ESE of Kuril’sk, Russia",Russia,2026-08-31 09:19:57 UTC,148.2193,45.1453,147.811
tx2026rcyegf,3.2,"48 km W of Mentone, Texas",Texas,2026-08-31 09:16:09 UTC,-104.112,31.736,7.9327
us7000td37,2.7,"186 km W of Bandon, Oregon",Oregon,2026-08-31 08:59:54 UTC,-126.6668,43.4204,10.0
us7000td35,4.4,"184 km W of Ferndale, California",California,2026-08-31 08:36:48 UTC,-126.4438,40.535,10.0
tx2026rcwphu,3.0,"48 km W of Mentone, Texas",Texas,2026-08-31 08:28:38 UTC,-104.112,31.737,8.1378
us7000td2z,5.5,"44 km NNE of Ruteng, Indonesia",Indonesia,2026-08-31 08:03:28 UTC,120.6119,-8.241,10.0
pr71530423,3.12,"2 km SW of Hato Candal, Puerto Rico",Puerto Rico,2026-08-31 06:53:28 UTC,-65.8015,18.3601666666667,128.42
us7000td2f,4.5,south of the Fiji Islands,south of the Fiji Islands,2026-08-31 04:38:22 UTC,179.8021,-25.2065,508.306
us7000td2c,4.9,"13 km SSE of Union, Philippines",Philippines,2026-08-31 04:04:34 UTC,126.1362,9.6408,83.891
aka2026rfhheo,2.6,"111 km S of Unalaska, Alaska",Alaska,2026-08-31 03:59:33 UTC,-166.368,52.876,57.1
aka2026rfgrdq,3.1,"194 km SE of Perryville, Alaska",Alaska,2026-08-31 03:40:39 UTC,-156.819,54.778,4.9
pr71530413,2.84,"10 km NNE of Tierras Nuevas Poniente, Puerto Rico",Puerto Rico,2026-08-31 03:39:35 UTC,-66.4453333333333,18.549,95.86
aka2026rfeyok,2.8,"75 km SSE of Adak, Alaska",Alaska,2026-08-31 02:49:37 UTC,-176.227,51.249,23.2
ci41539488,2.65,"2 km NW of Delta, B.C., MX",MX,2026-08-31 02:16:31 UTC,-115.208166666667,32.3705,17.7
us7000td1g,4.5,"71 km WSW of Puerto Casma, Peru",Peru,2026-08-31 01:08:05 UTC,-79.0145,-9.6152,59.386
pr71530403,2.88,"1 km WSW of Guayanilla, Puerto Rico",Puerto Rico,2026-08-31 00:42:28 UTC,-66.8091666666667,18.0133333333333,16.66
us7000td13,4.2,"266 km W of Houma, Tonga",Tonga,2026-08-30 22:51:07 UTC,-177.8697,-21.2884,408.405
aka2026rewfee,2.9,"65 km NW of Yakutat, Alaska",Alaska,2026-08-30 22:27:18 UTC,-140.621,59.922,3.0
aka2026rewcmw,3.7,"91 km SE of Akutan, Alaska",Alaska,2026-08-30 22:24:16 UTC,-164.815,53.534,14.7
us7000td0v,4.5,"109 km NW of Hicks Bay, New Zealand",New Zealand,2026-08-30 22:08:03 UTC,177.4474,-36.8873,180.094
us7000td0w,4.5,"137 km S of Vanimo, Papua New Guinea",Papua New Guinea,2026-08-30 22:07:25 UTC,141.3649,-3.9287,52.064
aka2026reuvne,2.7,"168 km SW of Nikolski, Alaska",Alaska,2026-08-30 21:46:56 UTC,-170.932,52.096,19.8
hv75026967,2.78,"19 km SE of Pāhala, Hawaii",Hawaii,2026-08-30 21:18:37 UTC,-155.3585,19.0655,31.77
hv75026922,2.63,"3 km SSW of Pāhala, Hawaii",Hawaii,2026-08-30 18:41:19 UTC,-155.4905,19.178,30.99
aka2026reoczv,2.5,"25 km NNW of Susitna, Alaska",Alaska,2026-08-30 18:25:38 UTC,-150.712,61.752,63.1
us7000tczy,4.5,"101 km SW of Aitape, Papua New Guinea",Papua New Guinea,2026-08-30 18:18:49 UTC,141.779,-3.85,46.147
aka2026remopu,3.1,"114 km SW of Adak, Alaska",Alaska,2026-08-30 17:38:19 UTC,-177.914,51.225,7.3
aka2026rembgx,3.1,"200 km W of Adak, Alaska",Alaska,2026-08-30 17:22:56 UTC,-179.504,51.616,8.9
us7000tczt,4.7,"62 km SSE of Palca, Peru",Peru,2026-08-30 16:04:07 UTC,-69.6387,-18.2459,102.036
pr71530363,3.32,"54 km N of Charlotte Amalie, U.S. Virgin Islands",U.S. Virgin Islands,2026-08-30 15:33:01 UTC,-65.0275,18.8221666666667,54.32
us7000tczi,4.6,"128 km N of Aksu, China",China,2026-08-30 14:50:32 UTC,80.5213,42.3245,10.0
tx2026rbmtxj,2.7,"58 km S of Whites City, New Mexico",New Mexico,2026-08-30 14:27:57 UTC,-104.26,31.659,7.6508
us7000tczx,2.8,"257 km S of False Pass, Alaska",Alaska,2026-08-30 13:56:01 UTC,-162.928,52.5617,10.0
aka2026reeebq,3.2,"234 km WSW of Adak, Alaska",Alaska,2026-08-30 13:36:37 UTC,-179.893,51.31,28.6
aka2026reaktv,2.5,"15 km NNW of Nikiski, Alaska",Alaska,2026-08-30 11:34:03 UTC,-151.385,60.822,75.1
us7000tcyl,4.3,"90 km SW of Brisas Barra de Suchiate, Mexico",Mexico,2026-08-30 11:21:28 UTC,-92.8925,14.0451,34.44
aka2026rdzuws,2.8,"66 km SW of Atka, Alaska",Alaska,2026-08-30 11:15:44 UTC,-174.848,51.746,60.1
aka2026rdztjd,2.6,"39 km SSW of Cantwell, Alaska",Alaska,2026-08-30 11:13:59 UTC,-149.288,63.074,76.2
us7000tcyr,4.6,"52 km NNE of Ruteng, Indonesia",Indonesia,2026-08-30 11:03:03 UTC,120.6265,-8.1634,10.0
aka2026rdwvzf,2.6,"103 km SSE of Sand Point, Alaska",Alaska,2026-08-30 09:47:04 UTC,-159.751,54.513,26.8
us7000tcy1,2.9,"26 km W of Auburn, Wyoming",Wyoming,2026-08-30 09:17:01 UTC,-111.323,42.834,7.153
us7000tcy0,4.5,south of the Fiji Islands,south of the Fiji Islands,2026-08-30 09:13:55 UTC,-179.9128,-23.414,532.696
us7000tcxn,5.8,"Kermadec Islands, New Zealand",New Zealand,2026-08-30 09:02:09 UTC,-177.8882,-30.1462,35.0
us7000tcxi,4.5,"156 km SSE of Vilyuchinsk, Russia",Russia,2026-08-30 08:09:44 UTC,159.1009,51.5864,54.889
aka2026rdtojl,2.7,"198 km SSE of Akutan, Alaska",Alaska,2026-08-30 08:08:05 UTC,-164.113,52.65,5.0
us7000tcxc,4.9,"76 km WNW of Bengkulu, Indonesia",Indonesia,2026-08-30 07:37:53 UTC,101.6611,-3.4659,78.208
pr2026242000,3.77,"75 km NE of Cruz Bay, U.S. Virgin Islands",U.S. Virgin Islands,2026-08-30 07:24:17 UTC,-64.3826,18.888,19.0
pr2026242001,3.96,"50 km NNW of San Antonio, Puerto Rico",Puerto Rico,2026-08-30 05:47:03 UTC,-67.2885,18.9116,53.0
aka2026rdolyr,2.6,"194 km SSE of Unalaska, Alaska",Alaska,2026-08-30 05:35:30 UTC,-165.207,52.315,3.8
aka2026rdocjh,3.0,"140 km S of Unalaska, Alaska",Alaska,2026-08-30 05:24:33 UTC,-166.581,52.616,16.8
us7000tcwp,4.7,"26 km WSW of Tocopilla, Chile",Chile,2026-08-30 05:19:51 UTC,-70.4392,-22.1794,52.115
us7000tcwg,4.7,"130 km WNW of Ternate, Indonesia",Indonesia,2026-08-30 04:29:14 UTC,126.3683,1.3834,35.107
us7000tcwe,4.2,"31 km SSW of Ashkāsham, Afghanistan",Afghanistan,2026-08-30 04:06:58 UTC,71.4072,36.4209,119.132
us7000tcwd,5.1,South Sandwich Islands region,South Sandwich Islands region,2026-08-30 03:55:28 UTC,-27.0033,-56.4575,135.686
aka2026rdklpn,2.8,"71 km WNW of Nikiski, Alaska",Alaska,2026-08-30 03:35:14 UTC,-152.46,60.991,128.3
aka2026rdkcnd,2.8,"135 km S of Unalaska, Alaska",Alaska,2026-08-30 03:24:43 UTC,-166.601,52.656,9.9
pr71530298,3.34,"40 km NW of Rincón, Puerto Rico",Puerto Rico,2026-08-30 01:50:22 UTC,-67.5618333333333,18.5581666666667,119.49
aka2026rdgcfd,2.7,"76 km SSE of Adak, Alaska",Alaska,2026-08-30 01:24:31 UTC,-176.365,51.211,13.7
us7000tcvt,4.5,"18 km SW of Urakawa, Japan",Japan,2026-08-30 00:14:19 UTC,142.6167,42.0423,63.625
aka2026rdcixi,3.2,"231 km ESE of Attu Station, Alaska",Alaska,2026-08-29 23:32:12 UTC,176.275,51.98,5.0
us7000tcvp,4.5,"70 km ENE of San Pedro de Atacama, Chile",Chile,2026-08-29 23:26:17 UTC,-67.5745,-22.6579,158.92
pr71530283,3.35,"36 km WSW of Stella, Puerto Rico",Puerto Rico,2026-08-29 23:11:08 UTC,-67.587,18.2475,112.13
