tweetid,created,date,hour,weekday,text,tweet_text_raw,retweets,favorites,source.r,hashtag,num.emojis,sentiment_negative,sentiment_neutral,sentiment_positive,sentiment_score,sentiment_confidence,sentiment
2162,2017-10-16 21:28:10,2017-10-16,21,Monday,"#metoo.

I believe we are made in the image of God and we are uniquely, beautifully, and wonderfully made! No one... https://t.co/fXWcp4220T","#metoo. I believe we are made in the image of God and we are uniquely, beautifully, and wonderfully made! No one... https://t.co/fXWcp4220T",0.0,0.0,Unknown,#metoo,0.0,0.015210074372589588,0.11214181780815125,0.8726480603218079,0.8574379859492183,0.8726480603218079,Positive
20799,2017-10-16 20:54:34,2017-10-16,20,Monday,#MeToo #MeToo - one is for my mother. It has been more than 80 years of this. It has to stop.,#MeToo #MeToo - one is for my mother. It has been more than 80 years of this. It has to stop.,0.0,1.0,ANDROID,#metoo,0.0,0.747732937335968,0.20825406908988953,0.044012993574142456,-0.7037199437618256,0.747732937335968,Negative
1983,2017-10-16 19:30:47,2017-10-16,19,Monday,@EdKrassen We have all suffered and it needs to stop! #Metoo,@EdKrassen We have all suffered and it needs to stop! #Metoo,0.0,1.0,IPHONE,#metoo,0.0,0.8959862589836121,0.0932055339217186,0.010808193124830723,-0.8851780658587813,0.8959862589836121,Negative
3329,2017-10-16 20:04:05,2017-10-16,20,Monday,@johnw62 Indeed! And that is only one of many many stories I could have told. My friends almost all have #metoo stories too.,@johnw62 Indeed! And that is only one of many many stories I could have told. My friends almost all have #metoo stories too.,0.0,0.0,ANDROID,#metoo,0.0,0.02898748591542244,0.23541946709156036,0.7355930805206299,0.7066055946052074,0.7355930805206299,Positive
5210,2017-10-16 23:54:22,2017-10-16,23,Monday,#MeToo I like Coke &amp; a fresh buns.,#MeToo I like Coke &amp; a fresh buns.,1.0,0.0,ANDROID,#metoo,0.0,0.019862713292241096,0.25893181562423706,0.721205472946167,0.7013427596539259,0.721205472946167,Positive
3126,2017-10-16 22:11:14,2017-10-16,22,Monday,Unfortunately... #metoo. And not just once.,Unfortunately... #metoo. And not just once.,0.0,0.0,IPHONE,#metoo,0.0,0.9124345183372498,0.08196523785591125,0.0056002335622906685,-0.9068342847749591,0.9124345183372498,Negative
3476,2017-10-16 22:01:01,2017-10-16,22,Monday,"@jonathanchait cc:  @carronJphillips.  Your next article, right?  #MeToo

https://t.co/q1D9Vm4g4m","@jonathanchait cc: @carronJphillips. Your next article, right? #MeToo https://t.co/q1D9Vm4g4m",0.0,0.0,WEB,#metoo,0.0,0.009579664096236229,0.9107015132904053,0.07971876114606857,0.07013909704983234,0.9107015132904053,Neutral
8213,2017-10-16 19:17:33,2017-10-16,19,Monday,The latest Encore Living Daily Edition! https://t.co/vvNZMkSqh6 #gameofthrones #metoo,The latest Encore Living Daily Edition! https://t.co/vvNZMkSqh6 #gameofthrones #metoo,0.0,0.0,Unknown,#metoo,0.0,0.022859226912260056,0.8257583975791931,0.15138240158557892,0.12852317467331886,0.8257583975791931,Neutral
15166,2017-10-16 21:33:26,2017-10-16,21,Monday,a man grabbed my butt on the street when I was in high school and multiple men harassed me while I was working in bars and nightclubs #metoo,a man grabbed my butt on the street when I was in high school and multiple men harassed me while I was working in bars and nightclubs #metoo,0.0,3.0,WEB,#metoo,0.0,0.7876500487327576,0.20173068344593048,0.010619270615279675,-0.7770307781174779,0.7876500487327576,Negative
4010,2017-10-16 20:27:23,2017-10-16,20,Monday,Survivors of sexual violence deserve to be believed and supported. #MeToo https://t.co/Bo1p6trvSM,Survivors of sexual violence deserve to be believed and supported. #MeToo https://t.co/Bo1p6trvSM,0.0,0.0,Unknown,#metoo,0.0,0.10337627679109573,0.6072947382926941,0.28932908177375793,0.1859528049826622,0.6072947382926941,Neutral
12572,2017-10-16 22:14:09,2017-10-16,22,Monday,#metoo and my split second internal debate on whether to post is precisely the reason I have and it sucks.,#metoo and my split second internal debate on whether to post is precisely the reason I have and it sucks.,0.0,1.0,ANDROID,#metoo,0.0,0.930588960647583,0.0640130415558815,0.005398024804890156,-0.9251909358426929,0.930588960647583,Negative
4954,2017-10-16 23:14:46,2017-10-16,23,Monday,As we can see from the #MeToo something needs to be done of our culture of sexual assault and rape in America. This issue we must face.,As we can see from the #MeToo something needs to be done of our culture of sexual assault and rape in America. This issue we must face.,7.0,5.0,IPHONE,#metoo,0.0,0.718419075012207,0.26130232214927673,0.020278627052903175,-0.6981404479593039,0.718419075012207,Negative
12922,2017-10-16 19:47:00,2017-10-16,19,Monday,"@Alyssa_Milano #MeToo met. First time was when I was 16, my boss would grab my ass and rub against me while I was working.","@Alyssa_Milano #MeToo met. First time was when I was 16, my boss would grab my ass and rub against me while I was working.",0.0,0.0,ANDROID,#metoo,0.0,0.16978265345096588,0.7006894946098328,0.12952783703804016,-0.04025481641292572,0.7006894946098328,Neutral
5863,2017-10-16 22:19:53,2017-10-16,22,Monday,"Reminder that if a woman didn't post #MeToo, it doesn't mean she wasn't sexually assaulted or harassed. Survivors don't owe you their story.","Reminder that if a woman didn't post #MeToo, it doesn't mean she wasn't sexually assaulted or harassed. Survivors don't owe you their story.",0.0,3.0,IPHONE,#metoo,0.0,0.7579652070999146,0.2338283509016037,0.00820646807551384,-0.7497587390244007,0.7579652070999146,Negative
17495,2017-10-16 20:06:38,2017-10-16,20,Monday,This thread is everything. Thank you @jkwillettmd #MeToo https://t.co/nB3DdLbWLv,This thread is everything. Thank you @jkwillettmd #MeToo https://t.co/nB3DdLbWLv,0.0,3.0,IPHONE,#metoo,0.0,0.004701012745499611,0.015344368293881416,0.9799546599388123,0.9752536471933126,0.9799546599388123,Positive
9953,2017-10-16 21:16:41,2017-10-16,21,Monday,Some things we don't talk about because we don't want to recognize them as being real. Its time to talk. #MeToo,Some things we don't talk about because we don't want to recognize them as being real. Its time to talk. #MeToo,0.0,3.0,ANDROID,#metoo,0.0,0.3654121458530426,0.5852572321891785,0.04933064430952072,-0.3160815015435219,0.5852572321891785,Neutral
8357,2017-10-16 19:10:59,2017-10-16,19,Monday,"the magnitude of this is crazy.. 
#metoo https://t.co/897Bin98du",the magnitude of this is crazy.. #metoo https://t.co/897Bin98du,0.0,0.0,IPHONE,#metoo,0.0,0.7354317903518677,0.22695277631282806,0.03761540353298187,-0.6978163868188858,0.7354317903518677,Negative
27344,2017-10-16 20:14:53,2017-10-16,20,Monday,"#MeToo 
I dont wanna share but i want people to know this happens far more often than you think.",#MeToo I dont wanna share but i want people to know this happens far more often than you think.,0.0,13.0,ANDROID,#metoo,0.0,0.7601071000099182,0.2250862717628479,0.014806612394750118,-0.7453004876151681,0.7601071000099182,Negative
19758,2017-10-16 22:28:00,2017-10-16,22,Monday,"THIS. So much this. 
#MeToo https://t.co/tFgl1f3yGv",THIS. So much this. #MeToo https://t.co/tFgl1f3yGv,0.0,2.0,ANDROID,#metoo,0.0,0.1689874529838562,0.4265574812889099,0.4044550061225891,0.2354675531387329,0.4265574812889099,Neutral
27105,2017-10-16 23:02:31,2017-10-16,23,Monday,"As a Jew and as a victim of assault, I can not begin to apologize for the assaults caused by my jewish bretheren in hollywood. #MeToo","As a Jew and as a victim of assault, I can not begin to apologize for the assaults caused by my jewish bretheren in hollywood. #MeToo",0.0,0.0,WEB,#metoo,0.0,0.9220080375671387,0.0713684931397438,0.006623489316552877,-0.9153845482505858,0.9220080375671387,Negative
2870,2017-10-16 23:45:47,2017-10-16,23,Monday,"To any woman i ever treated badly, i apologize. I'm still learning and trying to right my wrongs.  #metoo","To any woman i ever treated badly, i apologize. I'm still learning and trying to right my wrongs. #metoo",0.0,1.0,ANDROID,#metoo,0.0,0.659006655216217,0.300492525100708,0.04050079733133316,-0.6185058578848839,0.659006655216217,Negative
15444,2017-10-16 20:33:12,2017-10-16,20,Monday,It<e2><80><99>s a fucking travesty that the vast majority of women on my timeline have a #MeToo story about sexual assault/harrsassment. It<e2><80><99>s not ok!,It<e2><80><99>s a fucking travesty that the vast majority of women on my timeline have a #MeToo story about sexual assault/harrsassment. It<e2><80><99>s not ok!,0.0,0.0,IPHONE,#metoo,0.0,0.9454213976860046,0.0491364561021328,0.005442073103040457,-0.9399793245829642,0.9454213976860046,Negative
4958,2017-10-16 23:25:36,2017-10-16,23,Monday,@Alyssa_Milano The first time it happened.. two guys from school offered me a ride.. then they wouldn't let me out<e2><80><a6> https://t.co/HHk141R7mQ,@Alyssa_Milano The first time it happened.. two guys from school offered me a ride.. then they wouldn't let me out<e2><80><a6> https://t.co/HHk141R7mQ,0.0,0.0,IPHONE,#metoo,0.0,0.687420666217804,0.3008178174495697,0.01176147349178791,-0.675659192726016,0.687420666217804,Negative
22671,2017-10-16 21:31:40,2017-10-16,21,Monday,A friend would have tweeted #MeToo twice...very sad <ed><a0><bd><ed><b8><9e>,A friend would have tweeted #MeToo twice...very sad <ed><a0><bd><ed><b8><9e>,0.0,0.0,IPHONE,#metoo,1.0,0.8544781804084778,0.1342306137084961,0.01129113882780075,-0.843187041580677,0.8544781804084778,Negative
24870,2017-10-16 19:03:41,2017-10-16,19,Monday,Reading through random #metoo stories. It's heartbreaking. :(,Reading through random #metoo stories. It's heartbreaking. :(,0.0,3.0,WEB,#metoo,0.0,0.922008216381073,0.07210038602352142,0.005891349166631699,-0.9161168672144413,0.922008216381073,Negative
21205,2017-10-16 22:40:08,2017-10-16,22,Monday,@JCCCtweet I bet not since they wouldn't investigate at all. Not even ask another student in the class. #metoo,@JCCCtweet I bet not since they wouldn't investigate at all. Not even ask another student in the class. #metoo,0.0,0.0,Unknown,#metoo,0.0,0.8474959135055542,0.14554178714752197,0.006962248589843512,-0.8405336649157107,0.8474959135055542,Negative
19631,2017-10-16 21:26:30,2017-10-16,21,Monday,"I honestly don't know how I feel about this or any of it. 
<e2><80><a2>
<e2><80><a2>
<e2><80><a2>
<e2><80><a2>
<e2><80><a2>
#metoo #meinfinity<e2><80><a6> https://t.co/Y206odTyIJ",I honestly don't know how I feel about this or any of it. <e2><80><a2> <e2><80><a2> <e2><80><a2> <e2><80><a2> <e2><80><a2> #metoo #meinfinity<e2><80><a6> https://t.co/Y206odTyIJ,0.0,0.0,Unknown,#metoo,0.0,0.8254591226577759,0.16414234042167664,0.010398486629128456,-0.8150606360286474,0.8254591226577759,Negative
5647,2017-10-16 20:47:34,2017-10-16,20,Monday,"If you tell me you have been sexually assaulted/harassed, #IWill support you and believe you.  #MeToo","If you tell me you have been sexually assaulted/harassed, #IWill support you and believe you. #MeToo",1.0,6.0,IPHONE,#metoo,0.0,0.19771423935890198,0.5885584950447083,0.21372729539871216,0.01601305603981018,0.5885584950447083,Neutral
8434,2017-10-16 21:54:00,2017-10-16,21,Monday,"Women are using #MeToo to speak on abuse they've endured.

Where the fuck are the men taking public responsibility for doing it?

#YESiHAVE",Women are using #MeToo to speak on abuse they've endured. Where the fuck are the men taking public responsibility for doing it? #YESiHAVE,1.0,7.0,ANDROID,#metoo,0.0,0.8483585119247437,0.14153313636779785,0.010108329355716705,-0.838250182569027,0.8483585119247437,Negative
22070,2017-10-16 23:43:17,2017-10-16,23,Monday,"#metoo

That said<e2><80><93> I'd like to try something else here. I want to recall all of the times I could have ended up being a victim of (1)",#metoo That said<e2><80><93> I'd like to try something else here. I want to recall all of the times I could have ended up being a victim of (1),0.0,0.0,WEB,#metoo,0.0,0.6495643854141235,0.3312767744064331,0.01915883459150791,-0.6304055508226156,0.6495643854141235,Negative
19052,2017-10-16 23:59:27,2017-10-16,23,Monday,"#MeToo Trends On Social Media With Stories Of Assault And Harassment https://t.co/Q367ED4neM 
#MeToo #Trending https://t.co/27gqymAN9T",#MeToo Trends On Social Media With Stories Of Assault And Harassment https://t.co/Q367ED4neM #MeToo #Trending https://t.co/27gqymAN9T,4.0,10.0,WEB,#metoo,0.0,0.4018495976924896,0.5740087628364563,0.024141676723957062,-0.37770792096853256,0.5740087628364563,Neutral
13007,2017-10-16 21:07:35,2017-10-16,21,Monday,Not telling my story because I can't go back there right now but #MeToo,Not telling my story because I can't go back there right now but #MeToo,1.0,4.0,ANDROID,#metoo,0.0,0.5684565901756287,0.40930476784706116,0.022238649427890778,-0.5462179407477379,0.5684565901756287,Negative
25710,2017-10-16 21:26:30,2017-10-16,21,Monday,The latest Thode Daily Health Review! https://t.co/OFuHR6fbuo #metoo,The latest Thode Daily Health Review! https://t.co/OFuHR6fbuo #metoo,0.0,0.0,Unknown,#metoo,0.0,0.010523708537220955,0.8204991817474365,0.16897715628147125,0.1584534477442503,0.8204991817474365,Neutral
