tweetid,created,text,retweets,favorites,source.r,hashtag,num.emojis,emoji_names
1,2017-10-16 19:36:24,"I wasn't going to tweet #metoo because we've been tweeting, crying, hurting 'me too' for a long long time now.",0,0,IPHONE,#metoo,0,
2,2017-10-16 20:05:12,Me seeing you post #MeToo several months after posting that the women's march protestors were disrespectful whiners. https://t.co/LQlZSRl0qk,0,0,ANDROID,#metoo,0,
3,2017-10-16 21:31:34,"Me too

#metoo",0,0,NA,#metoo,0,
4,2017-10-16 23:11:32,All the #metoo statuses and there's so many people that haven't posted.,0,1,NA,#metoo,0,
5,2017-10-16 20:42:16,"Every wolf whistle 
Every ""hey baby"" 
Every forced physical interaction 
Every quickened step 
Every unsafe feeling 

#MeToo",0,1,ANDROID,#metoo,0,
6,2017-10-16 21:31:35,"There were 3 that night, and 1 that still hides in the shadows. I will not live in fear anymore. #metoo",0,1,IPHONE,#metoo,0,
7,2017-10-16 20:01:32,"#MeToo at work, school, in public",0,2,IPHONE,#metoo,0,
8,2017-10-16 19:44:18,#metoo because I thought it was my fault someone took me upstairs and pinned me down when I became unconscious at a party,0,0,IPHONE,#metoo,0,
9,2017-10-16 23:52:22,I didnt say no. I didnt say anything because i wasn't conscious #MeToo,0,0,ANDROID,#metoo,0,
10,2017-10-16 23:44:33,The #MeToo campaign is empowering and simultaneously heartbreaking ..,5,13,IPHONE,#metoo,0,
11,2017-10-16 20:16:04,"it<e2><80><99>s hard when you<e2><80><99>ve tried to drop hints to your loved ones and they still don<e2><80><99>t understand...

#MeToo",1,1,IPHONE,#metoo,0,
12,2017-10-16 19:52:33,this #MeToo hashtag is sad smh,0,0,ANDROID,#metoo,0,
13,2017-10-16 23:02:16,Please tell me what you think #metoo will do when the leader of our country @realDonaldTrump brags about sexually assaulting women?,0,3,IPHONE,#metoo,0,
14,2017-10-16 20:19:36,Tired of being told it didn<e2><80><99>t count because it was another woman. #metoo https://t.co/c4dB9HA0KB,0,4,IPHONE,#metoo,0,
15,2017-10-16 21:33:56,#metoo not quite brave enough for fb though.,0,1,NA,#metoo,0,
16,2017-10-16 19:43:39,"I see you, I recognize you and I believe you. While I myself have never been a victim, I stand with you.
#MeToo  <e2><80><9c> Ted Bishop Nieves <e2><80><9c>",1,1,NA,#metoo,0,
17,2017-10-16 19:17:57,You are not alone. #MeToo,0,0,ANDROID,#metoo,0,
18,2017-10-16 23:47:09,@sousa_palooza You can report it+have evidence+have no fear of the judgment&amp;your rapist won't go to jail... I don't<e2><80><a6> https://t.co/LmsYfcOL1V,0,2,IPHONE,#metoo,0,
19,2017-10-16 21:45:07,I don<e2><80><99>t need #metoo to tell me what I already know: every single woman has a story of harassment. But I think it says something others do.,0,2,IPHONE,#metoo,0,
20,2017-10-16 19:51:22,"The #MeToo is 4 women 2 highlight sexual assault. Not talk about consensual sex to 'get what they want'
Pipe down f<e2><80><a6> https://t.co/iecnJw9vul",0,1,IPHONE,#metoo,0,
21,2017-10-16 19:25:33,I find myself questioning whether what happened to me was bad enough to justify this tweet n realise this is a big part of the issue #MeToo,0,13,IPHONE,#metoo,0,
22,2017-10-16 21:27:10,"He told me they'd never believe me. At first, they didn't. #metoo",0,2,IPHONE,#metoo,0,
23,2017-10-16 22:49:04,When I was 7 by babysitter #MeToo https://t.co/6hKwtP2HC3,0,0,IPHONE,#metoo,0,
24,2017-10-16 21:35:29,I find the #MeToo statements to be a mortifying indictment on the patriarchy of our society.,2,3,ANDROID,#metoo,0,
25,2017-10-16 22:12:02,It<e2><80><99>s sad that sexual assault/harassment/abuse is as common as it is. #metoo,0,1,IPHONE,#metoo,0,
26,2017-10-16 19:33:10,"@SarahSkies So yea, #MeToo. Everyone deserves to be heard and believed, no matter who they are. Abuse is abuse.",0,7,ANDROID,#metoo,0,
27,2017-10-16 20:16:35,"idk what's more fucked up. the innumerable #MeToo hashtags surfacing, or the shock upon encountering women who have<e2><80><a6> https://t.co/7USWUnOwig",0,0,WEB,#metoo,0,
28,2017-10-16 21:33:31,"@lesil Damn typo in that last one, but I'm leaving it. (Rebel) I'm beginning to wonder if this is the same guy. Lol!! You damn prude! #MeToo",0,0,IPHONE,#metoo,0,
29,2017-10-16 21:15:00,"7, 9, 13, 17, 19.  #MeToo

<e2><80><9c>Dress modest<e2><80><9d>
<e2><80><9c>Don<e2><80><99>t get drunk<e2><80><9d>
<e2><80><9c>Don<e2><80><99>t provoke him<e2><80><9d>

Tell those to a child, and tell me it doesn<e2><80><99>t sound stupid?",0,2,IPHONE,#metoo,0,
30,2017-10-16 22:59:36,So many of us spoke out today to say #metoo and many were standing with us silently. This is<e2><80><a6> https://t.co/BQL3JMcn0t,0,0,NA,#metoo,0,
31,2017-10-16 23:38:10,#metoo If you have been following blog then you know that I am a candid person. I share my stories in... https://t.co/yjKjI0ubYE,0,0,NA,#metoo,0,
32,2017-10-16 19:30:12,"Just So We<e2><80><99>re Clear, #MeToo Was Started By A Black Woman + The Stories Women Have Shared - 
Click link to view &amp; co<e2><80><a6> https://t.co/STtiH9vFBl",0,0,NA,#metoo,0,
33,2017-10-16 20:48:34,Respect their boundaries. It takes a toll on their everyday life and view of their worth. Please don<e2><80><99>t put anyone through that. #MeToo,2,6,IPHONE,#metoo,0,
34,2017-10-16 23:29:08,"#MeToo 1. In high school, I asked a neighbor if I could get a ride home from basketball practice after school because my parents were busy.",0,3,WEB,#metoo,0,
35,2017-10-16 20:43:38,I have four #MeToo stories. I still think nobody would believe me.,0,6,WEB,#metoo,0,
36,2017-10-16 21:25:16,I won<e2><80><99>t just get over it. #metoo,0,1,IPHONE,#metoo,0,
37,2017-10-16 22:15:58,It doesn't matter if you're in a relationship. It's still assult. #MeToo,0,3,ANDROID,#metoo,0,
38,2017-10-16 23:32:49,unfortunately its not just the men you have to watch out for #metoo,0,0,NA,#metoo,0,
39,2017-10-16 21:32:29,...or maybe I should talk about the one time I decided to defend myself from being pursued and then said man threatened my life... #MeToo,0,0,IPHONE,#metoo,0,
40,2017-10-16 22:10:47,"Make #metoo post, get told men experience it too. I don't discount their pain, I discount the pressure to centre everything around men.",15,69,WEB,#metoo,0,
41,2017-10-16 22:04:41,#MeToo  I panic when I<e2><80><99>m left alone with a man and I will plan how I will defend myself and my escape route,0,2,IPHONE,#metoo,0,
42,2017-10-16 21:47:44,"If you don't think every freaking woman on this earth has been harassed/cat-called at least once in their life, you're wrong #Metoo",0,2,NA,#metoo,0,
43,2017-10-16 22:02:39,Street harassment shouldn't be part of women's daily experience and that is only scratching the surface #MeToo,0,3,WEB,#metoo,0,
44,2017-10-16 23:20:37,#MeToo even if nonody knows. https://t.co/vjouFWLetE,0,0,ANDROID,#metoo,0,
45,2017-10-16 21:57:50,"""This [sex/sexual assault] is my alcoholism.""  --D. Trump

Watch the video. NOT funny. NOT ok.

#MeToo https://t.co/3Mkr5hcmeG",0,0,WEB,#metoo,0,
46,2017-10-16 19:39:23,#MeToo the burden to educate should not fall onto those that are oppressed..it should fall onto those that are perp<e2><80><a6> https://t.co/IaXcIr8ue5,0,0,IPHONE,#metoo,0,
47,2017-10-16 21:16:54,"I was to young to say no the 1st time, and the 2nd time, I was asleep. Just because I didn't say no, doesn't mean I said yes. #MeToo",0,6,IPHONE,#metoo,0,
48,2017-10-16 20:32:38,#MeToo I had to say I was gay to get away,0,0,ANDROID,#metoo,0,
49,2017-10-16 20:37:36,Coworker thinks it's fine to just walk in and start rubbing my shoulders. Because these are the 'tame' things I have gone through. #metoo,0,4,ANDROID,#metoo,0,
50,2017-10-16 23:15:15,#metoo - and the most painful thing was rejection by a community I loved when I finally spoke out.,0,2,ANDROID,#metoo,0,
51,2017-10-16 19:54:40,#MeToo [by Society6 Artist @witchoria] https://t.co/oDYGexXYR5 https://t.co/p1U8qD4Hv6,0,1,NA,#metoo,0,
52,2017-10-16 23:51:23,#MeToo is cool if it offers peace and a sense of unity but let's not work under the false pretence that our narratives will make men care,12,16,IPHONE,#metoo,0,
53,2017-10-16 22:03:00,Promising to raise my son better #MeToo,0,4,IPHONE,#metoo,0,
54,2017-10-16 20:11:12,#metoo has helped me feel less alone and I thank every survivor that used this tag and share their thoughts<e2><9d><a4><ef><b8><8f>,0,2,WEB,#metoo,1,red heart
55,2017-10-16 22:02:23,@Alyssa_Milano #MeToo more times than I could ever remember. From school to work and every time in between,0,0,IPHONE,#metoo,0,
56,2017-10-16 20:43:23,"To Counter the trend #MeToo , Molesters should immediately start #SelfThoo",0,0,ANDROID,#metoo,0,
57,2017-10-16 20:47:45,@SpenserMilo The whole #metoo campaign I FEEL is allowing only a certain person's (ciswomen) perspective,0,1,NA,#metoo,0,
